input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
PRR13P5		LINC01098	ARL13B
ARF4		RF00275	HMGN1P7
ARF4-AS1		RPRM	PROS1
DENND6A		ARHGAP20	LINC00708
DENND6A-AS1		CD1E	DDX43P2
DNAH12		OR10K2	AMMECR1LP1
PDE12		OR10T2	ANKS1B
FHIT		ARHGAP26	CMSS1
GRIA3		CCDC115	ALDH9A1
BANK1		IMP4	TMCO1
TOX2		MED15P5	TMCO1-AS1
MRPS33P4		MTATP6P7	MAL2-AS1
FAAH		MTCO1P7	SETP9
FAAHP1		MTCO2P7	SLAMF1
LINC01398		MTCO3P7	FGF14
AZGP1P1		MTCYBP8	DYNLL1P2
ZKSCAN1		MTND1P29	LINC02308
ZNF3		MTND2P22	STON2
ZSCAN21		MTND4P27	MTUS2
DPYS		MTND5P29	SOX5
LRP12		MTND6P8	HSD17B3
ELOC		SLC2A13P1	HSD17B3-AS1
GYG1P1		SALL4	BICD1
UBE2W		KANSL1L	GLS
BHLHE40-AS1		ASPH	STAT1
MFHAS1		KRT8P3	LINC01742
RF00156		CLIC5	EPRS
RPL10P19		RNASET2	SLC30A10
ACACA		RPS6KA2	HNRNPA1P47
C17orf78		RPS6KA2-AS1	LINC01711
TADA2A		ARHGAP15	NPEPL1
ZNF420		FRMD6	STX16
ZNF568		FRMD6-AS2	STX16-NPEPL1
AVL9		DLG3	HSD17B4
LSM5		DLG3-AS1	PSME2P2
SLC25A5P5		GDPD2	BLOC1S5
ERI3		RNY4P23	BLOC1S5-TXNDC5
LINC02257		ARID1B	EEF1E1
LINC02474		CHRDL1	EEF1E1-BLOC1S5
CFAP77		P3H2	FLG-AS1
SETX		ZEB2	PUDPP2
TTF1		QRSL1P2	RPTN
VIM		USP38	TCHH
VIM-AS1		CHFR	ARHGAP32
DNAH6		GOLGA3	ZNF123P
SUCLG1		RPS11P5	NECTIN3
DDC		CNTN4	NECTIN3-AS1
FIGNL1		CKS1BP5	MERTK
CITED4		ENPP6	TMEM150C
KCNQ4		SCARA5	LINC01810
C1QTNF8		ACAP2	CDC27
CACNA1H		LYSMD2	MYL4
SLC6A19		TMOD2	ZRANB1
RPL21P119		EGLN1	NFIL3
COL4A2		EXOC8	FRMD4B
COL4A2-AS2		SPRTN	RF00424
GPHN		RAB9BP1	TEAD1
RPS7P14		FABP3P2	OXR1
SLC16A2		LINC02341	GRIN2A
THAP12P1		CALM1P2	USP53
PKIG		ELDR	DOCK8
SERINC3		F11R	GSAP
FUT10		ITLN2	FAM98B
LINC02344		TSTD1	HINT2P1
STARD13		USF1	SLC10A7
SRBD1		FER	FO082796.2
FOXP1		ABCA2	CTBP2P5
CLHC1		C8G	KLF3
FBXW7		C9orf139	KLF3-AS1
EEF1A1P33		CLIC3	MYOCOS
NEDD1		FBXW5	PRRC2C
ST8SIA5		FUT7	PTPRR
MTURN		LCN12	OR7E28P
RPS27P16		LCNL1	OR7E89P
RPSAP42		LINC02692	OR7E90P
PECAM1		PAXX	SNX10
RPL31P57		PTGDS	LINC00504
SIPA1L2		KIRREL1	ESRRG
CCR9		KIRREL1-IT1	ANK2
LZTFL1		NXPH1	LUCAT1
DCUN1D3		DIO2	CDK5RAP1
ERI2		DIO2-AS1	SNTA1
LYRM1		PPIA	CSNK1G1
LINC00554		ZMIZ2	RF00554
ZIC2		LINC00583	LINC01686
ZIC5		PES1P2	RGS16
RAPGEF4		CSNK1G1	RGSL1
PIK3R4		PPIB	RNASEL
CUL4A		RAP1B	CUEDC1
LDHBP1		RPL10P12	SRSF1
PCID2		RPSAP12	VEZF1
TRIM2		FOXP1	AATBC
CD2BP2		FOXP1-IT1	AGPAT3
MYLPF		EFNB1	MYL6P1
SEPT1		NPAP1P6	GYPE
SMG1P5		CD44	SERPINE3
TBC1D10B		LINC02607	HMGN2P31
ZNF48		LINC00554	INSL4
ZNF706		NDUFA12P1	RLN2
PI15		ZIC2	LINC01923
CDC37		ZIC5	PLCL1
PDE4A		CORO2A	RPS7P5
TYK2		TBC1D2	NAV3
		LINC00500	DOCK10
		RGS9	CRYBG1
		HMGA2-AS1	RTN4IP1
		MAN1A2P1	PBK
		RANBP3L	LINC01116
		EIF4BP3	LINC01117
		ARHGEF28	C2orf42
		DTX1	FAM136A
		IMMP1LP2	PCYOX1
		OAS2	SNRPG
		RPS15AP32	TIA1
		TMF1P1	FRMD4A
