input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
			C8orf37-AS1
			OR10P1
			OR10Q2P
			TLE7
			YARS
			GRB2
			EPHA3
			LINC02374
			GPR176
			STIM1
			UTY
			DDX58
			CFI
			MRPL45P2
			ATAD5
			MAP3K20-AS1
			PTPN9
			FBP1
			LINGO1
			ARIH2P1
			KEL
			FBXL5
			OR5BR1P
			B3GLCT
			BCLAF1
			CTF2P
			KIAA1210
			PACS1
			HDAC4
			ALDH7A1P2
			BCL2L13
			Z99916.3
			ENDOU
			TNRC18
			PHC3
			FAS
			GNAO1
			GLYATL1P1
			PKP2
			TRIM36-IT1
			ACSL5
			HIST1H2AH
			KPNA1
			GC
			TAF5
			MCC
			PACERR
			MIDN
			RHBDF1P1
			HOXA13
			ZNF542P
			ELAVL2
			ARHGEF28
			TMEM232
			CYP4B1
			COL4A3BP
			RPL23AP16
			MDH1B
			ARHGAP26-IT1
			CELF2-AS1
			LINC01893
			SLC22A3
			BCO2
			GOLM1
			ZNF32-AS3
			ACOX3
			PTGIS
			JCAD
			SP100
			OR10R2
			SCARNA2
			FLT4
			SEPT5
			ZPLD1
			LINC01622
			KRT87P
			SP3
			RARA
			SH2D1A
			RNF38
			LINC02495
			CBFB
			TWISTNB
			KCNH7
			GLRB
			VWA2
			LINC00448
			CTXN3
			MYO18B
			BTBD10P1
			SAMD3
			OR7E90P
			ATR
			PLA2R1
			FAM180A
			SLC7A6
			GPR12
			TRAF3
			NUP58
			LINC01221
			FBXO8
			DSTNP5
			TIMP3
			FOXCUT
			CDCA7L
			TBC1D30
			LAMA3
			LMX1B
			SLC20A2
			GPR89P
			ZNF883
			HLA-DRB1
			DTNBP1
			CNN2P10
			GNAT2
			AGAP1-IT1
			ZNF143
			HIGD1AP4
			DDX18P6
			TAC1
			GLRXP2
			AUH
			ANKRD30BL
			APOBEC3F
			RPL34P27
			P2RY6
			ZRANB3
			VWA3B
			RASGEF1C
			RPL10AP6
			CCNH
			ACTN2
			ST8SIA3
			ITGA5
			SV2C
			ACP7
			NR3C1
			LDHAL6EP
			COX6A1
			SYT4
			LINC01474
			DNAH10
			FNDC3B
			STRIP1
			MAP1LC3A
			LINC02010
			NOP53
			C7orf33
			ARNT2
			CRB2
			CARSP2
			ANTXR2
			VN1R11P
			CLRN1-AS1
			EIF1P2
			BTBD7P2
			RNF216
			JAM3
			HNRNPCP4
			LRP1
			NOL10
			SLC24A4
			LMNTD1
			NBPF15
			CAMLG
			CDHR3
			NOX3
			QSER1
			TRERF1
			LINC00939
			CNGA3
			H2AFZP3
			BTF3P5
			LDB3
			LINC00377
			LINC02503
			ZC3H3
			HIGD1AP18
			JMY
			PNPLA7
			FBF1
			ZNF444P1
			PHACTR4
			LINC02309
			TNIP2
			PPIAP68
			TBC1D3P2
			ZFP64
			FABP7P1
			ASCC1
			CD83P1
			SYNDIG1L
			PDLIM1P1
			FTO
			LINC00343
			GABRP
			FMNL3
			FOXN2
			LINC01541
			TENT4A
			DNTT
			COLCA2
			FBN2
			NDUFB5
			LINC01776
			WDR12
			Z97200.1
			RANBP3
			CELF2-AS2
			COLEC10
			MPZL1
			LINC02000
			CCPG1
			CHMP2B
			CACNA1D
			BCL9P1
			BMP2K
			ARHGAP35
			TNP1
			CXXC4-AS1
			ZYG11A
			LINC01510
			CEBPE
			CRPPA
			ARHGAP26
			C6orf62
			DNAJA2
			CD1A
			COX7A2P1
			APC
			VSIG4
			RF02113
			ITGB3
			CST7
			TRIM33
			ARHGEF25
			MFSD8
			SPRED2
			DNAJC17
			CLEC6A
			MTUS2-AS2
			TENT5C
			LINC01702
			CIZ1
			LINC01987
			SPCS2P2
			SERPINB6
			LINC00474
			FBLN1
			CES5AP1
			ACTG1P13
			BOLA3P2
			SAR1B
			STX6
			SLC12A9
			RF00334
			CHIT1
			SLC12A8
			SFXN5
			CFAP44
			OCRL
			CLVS2
			NPM1P22
			ARHGEF7-AS2
			RASL11B
			LINC02052
			HOMER1
			SPOPL
			GPR84
			VANGL1
			SLC22A25
			AKR1B15
			TOPORS
			RF00279
			MSX1
			CEP19
			MORC4
			LINC00640
			SMAP2
			TRMT9B
			PLK2
			CARNS1
			AAGAB
			FBXO33
			MAB21L1
			TRPM2-AS
			TMEM99
			ALG6
			GRK4
			PRRC1
			FZD10-AS1
			MARCH6
			WDR62
			ME2P1
			LINC02628
			OR5AU1
			LINC00687
			FUT8
			DISP2
			TXLNA
			BTBD2
			RBMY2QP
			BEND3P1
			RPL23P4
			LINC01254
			TXNP7
			UBE2FP3
			STON2
			ZNF84
			C10orf67
			BSDC1
			RPL23AP52
			RIMS2
			XPR1
			U91319.1
			RPS26P56
			SPATA16
			KCTD14
			NPM1P1
			DDX3P2
			KAT6B
			MRPS15P1
			BBS10
			EPSTI1
			MS4A10
			ACADM
			SOX4
			VN1R71P
			CDK4P1
			PCBP3
			GDF15
			HSPE1P24
			ANKRD33
			NRIP3
			RPL6P25
			CEP76
			HNRNPLL
			LHFPL6
			C14orf177
			PACS2
			TMTC2
			APOOP3
			MAPK6
			DEPTOR
			ACTR3B
			RF00271
			VSTM5
			ASIP
			LINC01087
			TBC1D8B
			ASPH
			LINC01692
			MTMR6
			OR7E7P
			KANK1
			RPL37P10
			YME1L1
			MET
			RPL5P6
			NDUFB1P2
			LINC02607
			CSE1L
			RPSAP37
			LINC02136
			LINC02606
			PTGFRN
			SRRM1P2
			LINC02630
			SRP14P1
			LINC00927
			TMSB4X
			LRMP
			SUCLG2P2
			VASP
			C11orf65
			IL15
			CYTH1
			DOCK7
			ULK3
			EDC4
			TAGAP
			MTCO1P25
			ARNTL
			CCDC25
			FAM47A
			SSH2
			C1orf167
			TSHZ1
			POGK
			ADRA1B
			ASCC3
			LINC01442
			HAUS4P1
			RPS29P8
			KL
			RPL9P33
			CTAGE12P
			LINC00307
			MTCO3P23
			SLC43A3
			STAC
			PTPRM
			SLC16A8
			ULK4
			TTC39DP
			RF00096
			RF00191
			TMPRSS9
			NBPF7
			RFTN1
			LINC02247
			LINC01750
			PKDCC
			NLRP6
			BTBD10P2
			EPHB4
			KRIT1
			MRE11
			RUBCNL
			TMCC2
			KRTAP19-7
			ITIH5
			SLC13A4
			VGLL3
			ZSCAN20
			MMS19
			NIPA1
			MLNR
			FAM238C
			DVL2
			RPS6KB1
			CD1B
			AKAP3
			UBN2
			PLAC8
			RORA-AS2
			ISM1
			LINC01846
			PAPOLG
			CIT
			TTLL7-IT1
			BMP7
			OR8C1P
			VN1R17P
			RGP1
			RPL10P2
			LINC01095
			TUBA3E
			AMDHD1
			AP1S3
			GLMN
			Z97353.2
			HMGN1P31
			AQP5
			NXPH1
			ALOX12B
			PTPRD-AS1
			PPP1R1C
			AGPAT3
			RERG-IT1
			SLC35B4
			TNIK
			INTS6
			MAPK12
			PRPH
			ZMPSTE24
			HTR2B
			MTND6P25
			PABPN1L
			RAB3IP
			COMMD7
			GP5
			LINC02418
			SH3RF1
			ZNRF1
			ATMIN
			PPP6R2
			CA4
			GAD2
			RBM47
			WIF1
			GSTM2
			RPS2P6
			KRT6B
			ARAP1-AS1
			SCN7A
			LINC00534
			PRKCA-AS1
			SLC25A22
			P2RY10
			CERS3
			EXOSC7
			CYLC1
			TM2D1
			CHCHD3P2
			HMGN1P11
			NOL4L
			LINC02286
			OR7E4P
			PPIL4
			GAPDHP55
			SLC35C1
			LINC00644
			LDB1
			TEX10
			LINC01370
			NAP1L4P3
			GLB1
			SLC43A2
			DAAM2
			KCNAB1-AS1
			KAT2B
			TEKT1
			RPH3A
			DIS3L2
			QPCT
			BTN3A2
			CAMTA1
			CEP104
			VIT
			ANXA2R
			SCML4
			IMMP1LP3
			IFNGR1
			ZNF131
			PFKL
			CYP20A1
			RSPH4A
			NPEPPS
			LINC00200
			RDM1P3
			LINC00898
			HLCS-IT1
			CAMKK2
			COP1
			YWHAE
			KNOP1P4
			CCBE1
			ABCA4
			FBRS
			PSMB3P2
			STAM2
			OPTC
			DDX50P2
			RPSAP57
			NR2E1
			PLEKHA5
			TGFA-IT1
			SCAMP5
			DST
			ZNF496
			HSPE1P1
			AADACL4
			NDRG4
			LINC01748
			TMEM256P1
			LINC00523
			DMTN
			PARS2
			LINC02492
			CCDC171
			TUBB4BP3
			ETV6
			CPPED1
			LINC01738
			NANOGP4
			MRPL57P1
			IPPK
			LINC02598
			TATDN1
			FAM192BP
			SLC37A1
			ARL2BPP8
			NGFR
			LINC00601
			MBIP
			DIAPH3
			GSTP1
			RF00601
			CHST12
			ARPIN
			PCDHGA8
			RAB5CP2
			LINC02572
			HMGN2P25
			UBAP2
			LINC01950
			PRRX2-AS1
			RLIMP2
			HHIPL1
			EIF2S3B
			LINC01854
			KIRREL1
			KRT8P5
			FLT3LG
			TBC1D2
			TMEM182
			XRCC5
			ARPC1A
			MKNK1
			TM7SF3
			TRPA1
			ARPC3
			FAM126A
			IL17REL
			EMB
			RF00426
			RSRC1
			ELMO1
			RNY3P13
			TCL6
			C11orf97
			GLIS2-AS1
			TBL1XR1
			STK25
			PHLDA1
			DBX1
			OGFRL1
			MRRFP1
			AP1M1
			SNRPF
			DPF1
			EIF3M
			KAT6A
			ZKSCAN1
			TTC39B
			EVA1C
			C4BPB
			COPS7B
			SNHG6
			STPG2
			ANKRD31
			HNRNPA1P76
			RPL36P1
			STC2
			HAPLN2
			RPL7AP4
			VN1R5
			LINC02084
			RPS19P6
			RPS29P28
			LINC02622
			CFTRP3
			SEC61G
			CLEC3B
			LANCL1-AS1
			HNMT
			WASF3-AS1
			LINC01524
			IDNK
			DEFB109F
			MICOS10
			LINC00397
			EEF1A1P2
			MASTL
			STAT5B
			B3GALNT1
			ST13P21
			PRKCQ
			ARHGEF7
			RPS20P22
			FYN
			SCOC
			Z83313.1
			STK32B
			EEA1
			RPS2P44
			ASTN2
			AOAH
			FBN1
			LINC00332
			ARHGAP11B
			GOSR1
			FYB1
			CEP85L
			WDR20
			HLFP1
			CPS1
			ZBED3-AS1
			AK4P4
			GPA33
			NENF
			ACOT7
			CT45A1
			RBMXP4
			DLEU7
			COLGALT2
			TCHP
			CASC18
			ZNF678
			LINC02321
			XIRP1
			AKR1C6P
			SEPT7P1
			NUP88
			LINC00472
			KLHL3
			TAS2R10
			RPS23P3
			RPA1
			SLC30A10
			AMPD3
			CHRNB4
			RGS20
			PRTG
			PKN2-AS1
			SAMD4B
			HM13
			FAM172A
			OR7E1P
			TBC1D5
			SLC38A11
			CAMSAP2
			PTPRU
			TBC1D14
			RESF1
			CAB39L
			SUZ12
			PTK7
			WDR77
			IL33
			LINC01115
			SLC20A1P1
			TMEM63C
			NDUFB2P1
			ABI1
			USP30
			SH3GL3
			DGKD
			ADAMTS2
			TARID
			MNAT1
			DOCK5
			CLYBL
			ISM2
			HNRNPA1P21
			TIMM44
			ITGB6
			LRRC28
			ZDHHC20P3
			MAL2
			LINC01645
			CDKL1
			IQCF6
			RPAP2
			C12orf74
			MRPL54
			RUBCN
			SPATS2L
			ACSM4
			LINC01570
			SSR1P2
			GFOD1
			LINC00330
			POLK
			NT5M
			LPAL2
			S100A5
			PSMA6
			SKOR1
			ALG1L3P
			MMP20
			CERS5
			MYO5A
			IKBKB
			PIK3C3
			TEX26
			LRIG3
			NWD1
			PTH
			SIT1
			ROCK2
			LINC01271
			KRT10
			ADAMTSL5
			MZT1P1
			KDM4D
			AKR1B1P4
			FAXC
			DOC2A
			CLMAT3
			B4GALNT3
			GCNT7
			MRPL42
			DLC1
			MYO3B
			ZNF518B
			IRX3
			FAM227A
			OPA1
			LHX1-DT
			EEF2KMT
			Z75746.1
			MPRIP
			NVL
			LINC00567
			OR5T1
			MID1
			VDAC3
			TSSK3
			PIP4K2B
			PPP2R2B
			ZFYVE28
			APCDD1L-DT
			FAM9C
			NRGN
			LOXL2
			STPG4
			CITED4
			ALDH8A1
			ACSS1
			PSMA6P2
			LRP2BP
			KIF3A
			MAP2
			TUBB4BP1
			IP6K2
			LINC02431
			TM4SF19
			HMGB1P29
			CHCHD3P3
			MYL12B
			NPAP1P4
			RPL21P41
			LMO7
			GABRG3-AS1
			ZNF568
			IL4R
			CSRNP1
			MIRLET7D
			LINC02284
			TTC21B-AS1
			SYT14
			TBC1D20
			NTNG2
			DDX20
			FAIM2
