input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
SPOCK3	AGL	CRPPA-AS1	CCDC26
SIGLEC15	MARK4	PGBD4P5	PPIAP22
MYO1C	TRAM1L1	FBXL13	RPS28P7
UTP14C	LINC02362	SMARCE1P4	SPTLC1P2
KIDINS220	LINC01644	INPP5F	LINC02578
CSPP1	MYO10	MRE11	KAZN-AS1
NUCB2	RIMBP2	TEX36	POLQ
ENPP2	NRSN2	SP3	ACADSB
CLMP	SNF8	LINC01680	GBA3
NUDT6	RUNX2	TRIM75P	NUP62
LARP1BP2	LINC02240	LINC01608	ACTA2
BSNDP2	DRICH1	LINC01217	FTH1P10
TENM3	ACVR1C	SPATA8	OSBPL1A
RNF111	FAM162B	M1AP	NCALD
TBC1D12	AADAC	CD109	CYP2A7
MORN1	PRKCQ	ARPP21	PRKG2
MAP7D2	WDR11	DLGAP5	LINC02625
RELB	KCND2	BEND5	BMP5
UNC50	TNFRSF21	RUNX2	RPSAP34
MVP	LRRC4C	TUBB4BP5	LINC01899
CDCP1	RBPJL	RPS26P24	ATL1
NR1D2		C8orf37	HERPUD2
KRIT1		MRPL35P2	SELP
LINC01744		PRKN	RPL31P41
PTH2R		RF00004	ZNF521
LINC01222		PGBD5	LINC01165
ISM1		IQCJ-SCHIP1	DNAAF4
HOMER1		MAP1LC3BP1	DAB1-AS1
EBF1		CALD1	KLHL29
FO082796.2		HDGFL1	HNRNPCP6
PLXNA2		LINC02419	OR13H1
FRYL		ZNF510	HNRNPA1P20
MYL12BP2		PSAP	VTI1B
CEACAM7		ANKRD50	SUPT3H
CBR3-AS1		CLINT1	CSMD3
CLNK		CDK8	RPL3P4
INTS4		BPI	TMF1P1
ERN1		EEF1B2P2	ARHGAP6
FAM184A		IKZF1	CLP1
RF00322		AHCYL2	HCFC2
MCUR1		DNAH5	ATG3
ZNF484		LINC00879	RPS26P38
C17orf100		EFHB	PPIAP15
LINC02041		LINC02269	ANAPC5
ARL2BPP4		DHDDS	RB1
TANK		LINC01592	LINC01537
IL13RA1		RPL36P19	HECW2
LINC02039		TGFA	RF00026
BCL11A		NDST4	CHD6
GLCE		CCDC196	B3GAT1
LINC00592		KIRREL3-AS1	BANF1P5
TLR4		SYNM	UBR3
LINC02321		SNRPCP3	SRRM3
STRA8		BASP1	EPHB1
B3GAT3		LINC01886	EPS15P1
C8orf33		AKAP11	ABCB11
CTSL		LRRFIP2	LINC00659
TLN1		NAV2	DNAH5
FCGBP		SON	NACA4P
NIPBL		ERVMER61-1	LINC01339
ARF4		BLOC1S3	IGSF11
FHIT		ANP32A	FABP5P2
GRIA3		ZC4H2	NDUFAF6
LINC00347		SLC4A10	PSMC1P5
STMN4		PCDH10	DPP6
BANK1		RAG2	RBM45
ALOX15P1		HMGN2P40	NR5A2
TOX2		CRYZL1	BARD1
FAAHP1		MICAL3	ELOBP1
ZKSCAN1		LINC02554	GASAL1
TRIB1		LINC02433	CTIF
RPL23P4		LINC01248	GPR158
C15orf54		EDEM1	POLR2M
LRP12		MRPL42P2	ZEB2
GYG1P1		PAXBP1P1	RPS3AP23
PHLDA1		CHRDL1	ZSWIM6
BHLHE40-AS1		PKHD1	HNRNPA3P15
RPL10P19		NOVA1	DAB1
ACACA		Z98043.1	LARP7P4
ZNF420		LINC01706	KIF6
AVL9		ARHGEF11	MAPK4
ERI3		LINC01653	FHIT
LINC02257		OSBP2	LINC02493
TGFBR2		RF00401	TSEN2
TTF1		HNRNPA1P63	SUGT1
VIM		LINC00559	PTBP2
DNAH6		LINC01488	EMP1
WARS2P1		SKOR1	MTND5P34
FIGNL1		VEZT	ITGA11
KCNQ4		CATSPERB	DNAJB9
CACNA1H		LINC01494	NUDT6
SMARCA2		LINC01119	SMKR1
SLC6A19		ZNF229	PGK2
RPL21P119		ENDOU	TICRR
CBLB		POTEB2	AAR2
GPHN		LINC00870	MTND5P17
THAP12P1		EMCN	RAD51B
MED27		HDAC9	LINC02550
PKIG		LINC01142	MED28P2
MLLT3		RF01225	ACSBG1
FUT10		SPRED1	DNM3
STARD13		LINC02438	LINC01322
SRBD1		ARHGAP21	LRRC7
LINC01854		CACNA1C	GOT2P1
HNRNPL		LINC02240	ALG8
FOXP1		LINC01579	RYR3
CLHC1		HIVEP3	MTCO1P56
RUNX3		CRADD	POLR2E
FBXW7		HNRNPA1P4	LINC02296
EEF1A1P33		AIFM1	OR10A6
ST8SIA5		ANKS1B	LINC01973
HIF1A		BCOR	ST3GAL1
AKAP1		CACNB2	SLC44A5
RPS27P16		PAX9	SPTLC1P5
RPSAP42		EXT1	CCNB1IP1P2
RPL31P57		KCNH7	KIAA0586
SIPA1L2		TNFRSF8	PROS1
CCR9		RPL21P43	PTPRC
LYRM1		BACE2	LINC00708
ZIC5		ZRANB3	DDX43P2
GLMN		RBM43P1	AMMECR1LP1
RAPGEF4		SLC45A2	ANKS1B
PIK3R4		MTNR1B	CMSS1
CUL4A		RPS29P33	TMCO1
TRIM2		DSCAM	MAL2-AS1
POLL		LARP1B	SLAMF1
CD2BP2		COX10-AS1	FGF14
ZNF706		ERVW-1	DYNLL1P2
PI15		TEAD1	SOX5
CDC37		GATM	LINC02055
		BUD31P1	HSD17B3
		OPN3	RPL17P45
		MTCYBP3	BICD1
		LINC01098	STAT1
		RF00275	LINC01742
		ARHGAP20	LINC01122
		OR10T2	EPRS
		ARHGAP26	SCAPER
		MTCYBP8	HNRNPA1P47
		STXBP5-AS1	STX16
		SLC2A13P1	HSD17B4
		SALL4	PSME2P2
		KANSL1L	RIMS1
		KRT8P3	ST6GALNAC3
		PTMAP6	MIER3
		CLIC5	BLOC1S5-TXNDC5
		RNASET2	LINC01721
		ARHGAP15	LINC02539
		FRMD6-AS2	PUDPP2
		DLG3	ZNF123P
		ARID1B	CAPZA3
		P3H2	MERTK
		PPIAP24	TMEM150C
		ZEB2	NUDT19P4
		QRSL1P2	LINC01810
		LRRC4C	OR6C3
		LINC02549	FIGN
		USP38	SEPHS1P7
		Z86062.1	ETV3
		RPS11P5	CDC27
		CNTN4	ZRANB1
		LINC02161	NFIL3
		CKS1BP5	FRMD4B
		ENPP6	LINC00587
		LINC02552	RAP1BP2
		SCARA5	TEAD1
		ACAP2	NRBF2
		TMOD2	BCL11A
		KRAS	OXR1
		SYT4	GRIN2A
		RASSF10	USP53
		RPS3AP24	DOCK8
		SPRTN	GSAP
		NXPH1	FAM98B
		RAB9BP1	LINC01648
		FABP3P2	HINT2P1
		DAZL	PCDH20
		MDH2	SLC10A7
		CALM1P2	FO082796.2
		RF00287	TRMT61B
		F11R	CTBP2P5
		FER	PTCHD1
		PAXX	FGF20
		KIRREL1	CCDC7
		SCD5	KLF3
		HMGB3P12	PRRC2C
		DIO2	PTPRR
		ZMIZ2	LINC02676
		HAO1	OR7E28P
		PES1P2	SNX10
		CSNK1G1	LINC00504
		RAP1B	ESRRG
		FOXP1	ANK2
		EFNB1	ICA1L
		NPAP1P6	CDK5RAP1
		CD44	CSNK1G1
		LINC02607	RGS16
		LINC00554	VEZF1
		TBC1D2	ALOX5AP
		RAB24	LINC02263
		LINC00500	MYL6P1
		EGLN3	RBM22P4
		LINC01748	GYPE
		LINC01950	RMRPP5
		KBTBD8	SERPINE3
		RGS9	INSL4
		HMGA2-AS1	LINC01923
		MAN1A2P1	RPS7P5
		RANBP3L	KIF2B
		EIF4BP3	ZC4H2
		UBE2CP4	LINC02438
		NKAIN1P1	NAV3
		PEX14	GALNT17
		RPL17P35	HNRNPKP3
		LINC01449	TPMTP1
		ARHGEF28	DOCK10
		VPS35	EDEM1
		IMMP1LP2	TERF2IP
		TMF1P1	RTN4IP1
		PRKD1	PBK
		PXDN	TSPYL5
		PRTG	LINC01116
		COPB1	PCYOX1
		LINC02650	FRMD4A
		EIF2AP4	RF00413
		PRPSAP1	TRAM1
		RUNX1T1	C10orf90
		RHBDD1	LINC01194
		VN1R76P	RPL23AP54
		AK5	RAPGEF6
		NREP-AS1	SPTLC2
		ADAMTS20	LINC01520
		QTRT2	FGD6
		MARCO	RPEP2
		HMGN1P10	FTH1P21
		RPL6P9	LINC01277
		LINC01525	ABCA5
		GALNT3	UBE2E2
		LINC01884	RPL39P38
		CLASP1	FBXO9
		CAST	CNGB1
		MEI4	SPTBN1
		GLULP6	LINC00571
		ADPGK-AS1	DROSHA
		RPL3P4	METTL21EP
		SMKR1	NSF
		SV2B	PDE11A
		NOP58	LINC01787
		HNRNPA1P60	ANK3
		LINC02497	HSPA8P8
		LINC00326	EIF4EBP2P3
		SH2D6	PPARGC1B
		NPM1P1	FAM114A1
		HSPA8P17	MPDZ
		NAV3	SLC25A26
		TEX13C	PODNL1
		DPP6	OSTF1
		EFCAB7	LINC01741
		ETS1	HTR5A
		SLC5A7	ARHGEF10
		SORCS1	RF00424
		FAM85B	CASC15
		MCCC1	HNRNPA1P4
		CCDC3	MINDY4B
		CADPS	SH2D2A
		LINC02653	PRR9
		HDAC8	LINC01362
		LYPLA1P2	DCLK3
		CHMP1B	SLC2A9
		NRBF2P3	RF01879
		VCAN	TRIO
		NKRF	CPNE4
		SMPD4P1	LINC02265
		JCAD	NSMAF
		TEDDM1	SHISA9
		MYO10	NEK6
		ALDH7A1P2	AF117829.1
		ARFIP1	PTTG1
		PAPOLG	TANK
		PLSCR2	SGSM1
		LMCD1-AS1	AF241726.1
		RPS20P25	KCTD15
		FNBP1L	SF3A3P1
		LINC02536	CDC42P4
		FKBP1BP1	RF00322
		LNX2	LINC01826
		RARB	LINC02660
		UBE2H	NELFCD
		PGBD4P2	SH3YL1
		NAALADL2	ADAM28
		RPL12P4	CDKL4
		TSG101	AK5
		LINC02645	ADA2
		ACBD7	AJAP1
		TXNP7	RUNX2-AS1
		NEK5	FUT10
		UPP2	IDO2
		PGAM1P9	RETNLB
		HMGN2P4	NRP1
		CSNK2A1	CCNB3P1
		GORASP2	KLHL31
		CRPPA	MYL10
		HSP90AA1	LINC01802
		LINC00900	LRFN2
		NF2	LINC02024
		TMEM47	LINC00882
		CPNE8	AGBL1
		TRIO	SPAST
		HEATR5A	TSPAN33
		CACYBPP2	TENM4
		GPC4	SHOX2
		ITSN2	MTND4LP18
		PON1	IFNG
		GRIA3	IRS1
		CLVS2	PLPPR5
		HOOK1	MSR1
		STK3	FAM210B
		ZNF444	ARLNC1
		TNFRSF11B	ANKRD20A1
		MRPS36P2	UBE2WP1
		KRT8P9	LINC02181
		THSD4	RPTOR
		ASAP1	RF00004
		PPIAP58	LINC02275
		LINC02220	IQSEC3P1
		KRT8P7	ZFYVE16
		RFTN1	UBTFL8
		CACNA1A	ALK
		RPL30P7	ISCUP1
		CDH8	ASS1P8
		KALRN	ANKRD7
		GALK2	SLC38A4
		LINC01235	LINC00620
		LINC00924	HERC1
		LINC01375	NOP56P3
		IDO2	SEC23B
		PSD3	PIP
		LINC00710	SEC24B-AS1
		GATA3	LINC00383
		SHLD1	DM1-AS
		GIHCG	AF279873.3
		LINC02195	BANK1
		LINC00393	JKAMPP1
		ZNF679	RPL7P20
		IL9	HECA
		FAR2	CHAF1B
		MED28P6	ANKRD50
		RSL24D1P4	LINC00500
		PRNT	ISCA1P3
		HMGB1P46	PTGER2
		LINC02537	ST8SIA6
		ARSJ	MRPL3
		NBPF1	DEUP1
		RPS2P28	Z97205.1
		FAM71C	CWH43
		HNRNPA1P37	LINC01929
		ANXA1	HMGB1P38
		SLC10A7	NKAIN3
		BMPR1AP1	CASC17
		ABRAXAS1	ROBO2P1
		GPAM	FMN1
		OR1S1	LINC01119
		HNRNPUP1	MTND2P11
		IPPK	C6
		CASTOR2	EBF1
		INTS4	C1GALT1P2
		LCE6A	YTHDF3
		NDUFS6P1	TLR3
		FREM3	RAF1
		LINC02498	PDE4B
		SSXP10	HMGN2P24
		CARMIL1	TVP23A
		COL4A3	STOX2
		GEMIN8P4	CDK5RAP2
		FAM9C	LHX2
		ADAM10	COL25A1
		GNAI2P2	PDCL3P3
		HINT1	MINDY3
		CD200R1	CHCHD2P4
		NPHP3-ACAD11	PCDH15
		TCF12	RTN4
		KATNAL1	ELK1P1
		DNAJC19P9	NBPF22P
		MRPL9P1	KCNA1
		SCG2	LINC00484
		LINC02159	COLEC12
		LINC02473	CT45A7
		LINC01826	ARPP21
		EEF1DP3	MN1
		OR8F1P	PIP4K2A
		PIP5K1B	SOCS5
		NMD3	JUN
			LINC02023
			CDK7P1
			SATB1
			ARMH3
			PKD1L1
