input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
OR6D1P	ALG1L13P	ALG1L13P	OR6D1P
COL27A1	FAM85B	FAM85B	COL27A1
LINC01955	FAM86B3P	FAM86B3P	LINC01955
NECTIN3	EXO5	EXO5	NECTIN3
NECTIN3-AS1	ZFP69	ZFP69	NECTIN3-AS1
BARX1	ZNF684	ZNF684	BARX1
BARX1-DT	FOSL1P1	FOSL1P1	BARX1-DT
GTDC1	LARP1B	LARP1B	GTDC1
BTBD8	UTRN	UTRN	BTBD8
GAPDHP46	FOXP2	FOXP2	GAPDHP46
LPCAT2BP	PPP1R3A	PPP1R3A	LPCAT2BP
PRKAR1AP1	SLC39A8	SLC39A8	PRKAR1AP1
SETSIP	PCAT1	PCAT1	SETSIP
TARDBPP1	POU5F1B	POU5F1B	TARDBPP1
HNRNPA1P76	UBQLN1	UBQLN1	HNRNPA1P76
PPIAP40	C1orf115	C1orf115	PPIAP40
RF00409	HDAC1P2	HDAC1P2	RF00409
STIM1	CNOT6	CNOT6	STIM1
CCDC78	OPCML	OPCML	CCDC78
CHTF18	LINC02422	LINC02422	CHTF18
CIAO3	AGL	AGL	CIAO3
FAM173A	LINC01644	LINC01644	FAM173A
GNG13	RIMBP2	RIMBP2	GNG13
HAGHL	NRSN2	NRSN2	HAGHL
MSLN	NRSN2-AS1	NRSN2-AS1	MSLN
MSLNL	SOX12	SOX12	MSLNL
RPUSD1	TRIB3	TRIB3	RPUSD1
OAF	RUNX2	RUNX2	OAF
POU2F3	SUPT3H	SUPT3H	POU2F3
TRIM29	LINC02240	LINC02240	TRIM29
MAP3K5	ASLP1	ASLP1	MAP3K5
RF00066	DRICH1	DRICH1	RF00066
ZNF710	GUSBP11	GUSBP11	ZNF710
ZNF710-AS1	ACVR1C	ACVR1C	ZNF710-AS1
VEGFA	AADAC	AADAC	VEGFA
GLDC	AADACP1	AADACP1	GLDC
KDM4C	PRKCQ	PRKCQ	KDM4C
RNF2P1	KCND2	KCND2	RNF2P1
RPL23AP57	B3GNTL1P2	B3GNTL1P2	RPL23AP57
RPS3AP54	TNFRSF21	TNFRSF21	RPS3AP54
PANK2	LRRC4C	LRRC4C	PANK2
PCAT1	MATN4	MATN4	PCAT1
BCRP1	RBPJL	RBPJL	BCRP1
GGT5	SDC4	SDC4	GGT5
GGTLC4P	SYS1	SYS1	GGTLC4P
POM121L9P	SYS1-DBNDD2	SYS1-DBNDD2	POM121L9P
SPECC1L	KATNBL1P4	KATNBL1P4	SPECC1L
SPECC1L-ADORA2A		OR10J1	SPECC1L-ADORA2A
C2orf49		OR10J4	C2orf49
TGFBRAP1		CALCB	TGFBRAP1
LINC01973		CALCP	LINC01973
GNG2		CYP2R1	GNG2
RXFP2		TNRC18P1	RXFP2
RPL36AP6		UCP1	RPL36AP6
H2AFV		EEF1B2P1	H2AFV
LINC01952		MYO5A	LINC01952
PPIA		LINC00882	PPIA
PURB		PNMA6E	PURB
COL7A1		PNMA6F	COL7A1
PFKFB4		ZNF275	PFKFB4
SHISA5		SPEF2	SHISA5
UCN2		KIAA1217	UCN2
UQCRC1		SLC2A9	UQCRC1
CDH23		LINC01497	CDH23
CDH23-AS1		ZMAT4	CDH23-AS1
CD3EAP		RSL24D1P9	CD3EAP
ERCC1		ZNF366	ERCC1
ERCC2		EPM2A	ERCC2
PPP1R13L		SATB2	PPP1R13L
BAHD1		MIATNB	BAHD1
DISP2		KBTBD12	DISP2
IVD		C10orf99	IVD
KNSTRN		CDHR1	KNSTRN
PHGR1		CERNA2	PHGR1
RNY1P7		GHITM	RNY1P7
RPL26P34		LINC00840	RPL26P34
EIF5B		LINC00841	EIF5B
REV1		LINC02659	REV1
TXNDC9		PPP3CA	TXNDC9
GNA11		ACTN2	GNA11
GNA15		HEATR1	GNA15
KF456478.1		GNG5P1	KF456478.1
S1PR4		RAPGEF2	S1PR4
ABR		CCNB3P1	ABR
RREB1		ZFPM2	RREB1
ABHD17AP5		TAB2	ABHD17AP5
HDAC9		TAB2-AS1	HDAC9
PPP1R3B		KARSP1	PPP1R3B
MMAA		VWA8	MMAA
NCOA4P3		KDM4C	NCOA4P3
SMAD1		C19orf18	SMAD1
STK3		ZNF256	STK3
FOXJ3		ZNF417	FOXJ3
RIMKLA		ZNF418	RIMKLA
AKAP2		ZNF814	AKAP2
ADAM10		ADRA1A	ADAM10
LIPC		CMTR1	LIPC
CETP		RNF8	CETP
HERPUD1		DCDC1	HERPUD1
NLRC5		PPP1R1C	NLRC5
PPP3CA		C1orf131	PPP3CA
ARHGAP20		GNPAT	ARHGAP20
CNN1		CDC27	CNN1
ECSIT		PEG10	ECSIT
ELAVL3		SGCE	ELAVL3
PRKCSH		DLGAP1-AS3	PRKCSH
ZNF653		DLGAP1-AS4	ZNF653
KIDINS220		GAPDHP66	KIDINS220
MBOAT2		GAPDHP24	MBOAT2
CLMP		MAGI3	CLMP
FGF2		TMEM232	FGF2
NUDT6		DMBX1	NUDT6
SPATA5		KNCN	SPATA5
BSNDP2		MKNK1	BSNDP2
FAM182B		MKNK1-AS1	FAM182B
TENM3		TMEM275	TENM3
RNF111		MYL4	RNF111
HELLS		FTLP1	HELLS
TBC1D12		MMP9	TBC1D12
MORN1		PCIF1	MORN1
RER1		SLC12A5	RER1
SKI		SLC12A5-AS1	SKI
MAP7D2		ZNF335	MAP7D2
CLASRP		LINC01686	CLASRP
CLPTM1		RF00017	CLPTM1
RELB		RGS16	RELB
COA5		RGSL1	COA5
INPP4A		RNASEL	INPP4A
UNC50		C11orf40	UNC50
NKIRAS1		OR51D1	NKIRAS1
NR1D2		OR51E1	NR1D2
RPL15		OR52I1	RPL15
ANKIB1		OR52I2	ANKIB1
KRIT1		TRIM68	KRIT1
LRRD1		AFAP1	LRRD1
LINC01744		AFAP1-AS1	LINC01744
LINC01745		SORCS2	LINC01745
PTH2R		Z93403.1	PTH2R
ISM1		RF00416	ISM1
ISM1-AS1		RF00560	ISM1-AS1
HOMER1		CFTR	HOMER1
PLXNA2		CTTNBP2	PLXNA2
LINC02363		CTDSPL	LINC02363
MYL12BP2		ITGA9-AS1	MYL12BP2
CEACAM5		IQCF2	CEACAM5
CEACAM7		IQCF3	CEACAM7
DNAJC19P3		IQCF5	DNAJC19P3
CLNK		IQCF5-AS1	CLNK
INTS4		CD72	INTS4
KCTD14		FAM166B	KCTD14
ACNATP		RPS29P17	ACNATP
PLPPR1		RUSC2	PLPPR1
RF00322		TESK1	RF00322
MCUR1		HNRNPA3P6	MCUR1
ANKRD19P		SIPA1L2	ANKRD19P
EEF1DP2		SLC1A2	EEF1DP2
SNX18P2		LINC01848	SNX18P2
ZNF484		MAN2A1	ZNF484
LINC02041		PGAM5P1	LINC02041
RF01210		LRPPRC	RF01210
ARL2BPP4		NRG1-IT3	ARL2BPP4
DOCK11		EEF1GP4	DOCK11
IL13RA1		PSMC1P7	IL13RA1
RF00566		EXOC4	RF00566
LINC02039		PABPC1P11	LINC02039
EWSAT1		SH3GL2	EWSAT1
GLCE		TEAD4	GLCE
LINC02321		TULP3	LINC02321
RPS6KA5		LINC01255	RPS6KA5
TTC7B		LINC01928	TTC7B
STRA8		BLOC1S6	STRA8
WDR91		DPPA5P2	WDR91
CTSL		HMGN2P46	CTSL
CTSL3P		SQOR	CTSL3P
DAPK1		ARHGEF40	DAPK1
CA9		CKAP2P1	CA9
CREB3		NDRG2	CREB3
GBA2		OR5AU1	GBA2
MSMP		TMEM253	MSMP
RGP1		ZNF219	RGP1
TLN1		TACR1	TLN1
TPM2		ANKRD44-IT1	TPM2
FCGBP		CNBD2	FCGBP
PRR13P5		PHF20	PRR13P5
ARF4		SCAND1	ARF4
ARF4-AS1		ATXN7L3B	ARF4-AS1
DENND6A		MRPL45P1	DENND6A
DENND6A-AS1		RF00026	DENND6A-AS1
DNAH12		RGS4	DNAH12
PDE12		B3GLCT	PDE12
FHIT		HSPH1	FHIT
GRIA3		PCDH15	GRIA3
BANK1		DCK	BANK1
TOX2		SLC4A4	TOX2
MRPS33P4		LYPLA1	MRPS33P4
FAAH		TCEA1	FAAH
FAAHP1		TDGF1P5	FAAHP1
LINC01398		SIM2	LINC01398
AZGP1P1		MAP3K9	AZGP1P1
ZKSCAN1		LINC02337	ZKSCAN1
ZNF3		SMOC2	ZNF3
ZSCAN21		CEND1P1	ZSCAN21
DPYS		CEACAM1	DPYS
LRP12		CEACAMP2	LRP12
ELOC		DYNC1I2	ELOC
GYG1P1		AKNAD1	GYG1P1
UBE2W		SPATA42	UBE2W
BHLHE40-AS1		STXBP3	BHLHE40-AS1
MFHAS1		PCBP2P3	MFHAS1
RF00156		RF02271	RF00156
RPL10P19		UST	RPL10P19
ACACA		UBE3C	ACACA
C17orf78		MTCYBP44	C17orf78
TADA2A		GHRH	TADA2A
ZNF420		MANBAL	ZNF420
ZNF568		RPN2	ZNF568
AVL9		LCLAT1	AVL9
LSM5		MRPL15	LSM5
SLC25A5P5		GLCCI1	SLC25A5P5
ERI3		NEU3	ERI3
LINC02257		SPCS2	LINC02257
LINC02474		XRRA1	LINC02474
CFAP77		CDC42BPA	CFAP77
SETX		ABI3	SETX
TTF1		GNGT2	TTF1
VIM		PHOSPHO1	VIM
VIM-AS1		IFT43	VIM-AS1
DNAH6		TGFB3	DNAH6
SUCLG1		TTLL5	SUCLG1
DDC		EPG5	DDC
FIGNL1		INIP	FIGNL1
CITED4		CD48	CITED4
KCNQ4		SETP9	KCNQ4
C1QTNF8		SLAMF7	C1QTNF8
CACNA1H		TENM2	CACNA1H
SLC6A19		ECHDC1	SLC6A19
RPL21P119		RNF146	RPL21P119
COL4A2		SEPT5	COL4A2
COL4A2-AS2		BPIFB1	COL4A2-AS2
GPHN		BPIFB5P	GPHN
RPS7P14		BPIFB9P	RPS7P14
SLC16A2		CDK5RAP1	SLC16A2
THAP12P1		LINC00487	THAP12P1
PKIG		LINC02106	PKIG
SERINC3		BAZ1A	SERINC3
FUT10		GASK1A	FUT10
LINC02344		CACNA2D3	LINC02344
STARD13		CEP57	STARD13
SRBD1		FAM76B	SRBD1
FOXP1		SLC36A4	FOXP1
CLHC1		PDHX	CLHC1
FBXW7		PLPP4	FBXW7
EEF1A1P33		ALOX15P2	EEF1A1P33
NEDD1		EEF1DP2	NEDD1
ST8SIA5		SNX18P2	ST8SIA5
MTURN		ZNF484	MTURN
RPS27P16		LINC01796	RPS27P16
RPSAP42		FAM169B	RPSAP42
PECAM1		LINC02351	PECAM1
RPL31P57		KSR2	RPL31P57
SIPA1L2		MTCYBP6	SIPA1L2
CCR9		MTND4P6	CCR9
LZTFL1		RF00012	LZTFL1
DCUN1D3		NDUFB9P2	DCUN1D3
ERI2		CCBE1	ERI2
LYRM1		MCUR1P1	LYRM1
LINC00554		SMG6	LINC00554
ZIC2		LINC00955	ZIC2
ZIC5		LRPAP1	ZIC5
RAPGEF4		LINC01709	RAPGEF4
PIK3R4		DRAM1	PIK3R4
CUL4A		NENFP2	CUL4A
LDHBP1		HNRNPA1P59	LDHBP1
PCID2		KLHL12	PCID2
TRIM2		RABIF	TRIM2
CD2BP2		C1orf112	CD2BP2
MYLPF		SELP	MYLPF
SEPT1		LRMDA	SEPT1
SMG1P5		CYP2U1	SMG1P5
TBC1D10B		HADH	TBC1D10B
ZNF48		SGMS2	ZNF48
ZNF706		SOX5	ZNF706
PI15		NTRK3	PI15
CDC37		CRPPA-AS1	CDC37
