input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
TSPYL5	ETS1	ETS1	TSPYL5
COL27A1	KANSL1	KANSL1	COL27A1
LINC01955	PAIP1	PAIP1	LINC01955
NECTIN3-AS1	IFI16	IFI16	NECTIN3-AS1
BARX1	ANK2	ANK2	BARX1
COL4A2	CTH	CTH	COL4A2
GTDC1	COL11A1	COL11A1	GTDC1
GAPDHP46	OR7H2P	OR7H2P	GAPDHP46
TARDBPP1	PI15	PI15	TARDBPP1
STIM1	MT3	MT3	STIM1
MSLN	ZDHHC19	ZDHHC19	MSLN
OAF	LINC01850	LINC01850	OAF
MAP3K5	MME	MME	MAP3K5
ZNF710	ENPP4	ENPP4	ZNF710
VEGFA	CCDC26	CCDC26	VEGFA
TERB2	LINC01884	LINC01884	TERB2
RNF2P1	NFIL3	NFIL3	RNF2P1
LINC00707	TSPYL5	TSPYL5	LINC00707
PANK2	RPN1	RPN1	PANK2
POU2AF1	CAT	CAT	POU2AF1
LINC01592	PRPS2	PRPS2	LINC01592
LINC01721	AIG1	AIG1	LINC01721
CERS5	NCOR2	NCOR2	CERS5
PCAT1	ALS2	ALS2	PCAT1
GGT5	PROX1-AS1	PROX1-AS1	GGT5
TGFBRAP1	RNF165	RNF165	TGFBRAP1
LINC01973	NECTIN3-AS1	NECTIN3-AS1	LINC01973
AP1G1	HDGFL1	HDGFL1	AP1G1
GNG2	SCARNA20	SCARNA20	GNG2
RXFP2	GBP6	GBP6	RXFP2
RPL36AP6	SREK1	SREK1	RPL36AP6
H2AFV	DNAH5	DNAH5	H2AFV
PFKFB4	HIPK2	HIPK2	PFKFB4
CDH23	CCNY	CCNY	CDH23
TRIB3	DEPTOR	DEPTOR	TRIB3
CD3EAP	ACTL8	ACTL8	CD3EAP
RAG2	MTUS2-AS2	MTUS2-AS2	RAG2
IVD	PRDM1	PRDM1	IVD
DSC3	LHX8	LHX8	DSC3
RNY1P7	TRDC	TRDC	RNY1P7
EIF5B	MON1B	MON1B	EIF5B
GNA15	PRAMEF1	PRAMEF1	GNA15
IMPG1	CHAF1B	CHAF1B	IMPG1
SLC51A	KCTD14	KCTD14	SLC51A
SERPINE2	SAMD9L	SAMD9L	SERPINE2
RF00017	KIF27	KIF27	RF00017
RREB1	FAM85B	FAM85B	RREB1
ABHD17AP5	EXO5	EXO5	ABHD17AP5
