input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
			GEMIN8
			AKAP8L
			CNIH3
			SLC26A10
			GLYATL1P4
			PPP2R2A
			BBS1
			PTPRB
			PSG8
			GAPDHP20
			OR10P1
			OR10Q2P
			TLE7
			GRB2
			DDX58
			BCL2L13
			ACSL5
			KPNA1
			MCC
			MIDN
			RHBDF1P1
			HOXA13
			COL4A3BP
			LINC01939
			ARHGAP26-IT1
			BCO2
			SCARNA2
			FLT4
			KRT87P
			MAP4K4
			ATR
			TRAF3
			LINC01221
			AGAP1-IT1
			P2RY6
			RASGEF1C
			ST8SIA3
			ITGA5
			NLGN1
			LINC01474
			MAP3K20
			RNF216
			LRP1
			YWHAQP6
			TENT4A
			DNTT
			NDUFB5
			RF01210
			ARHGAP35
			CEBPE
			ID2
			ID2-AS1
			LINC02235
			C6orf62
			COX7A2P1
			APC
			ARHGEF25
			ABHD18
			MFSD8
			STX6
			SLC12A9
			CHIT1
			SLTM
			SLC12A8
			SFXN5
			CD24
			HOMER1
			AKR1B15
			SMIM27
			TOPORS
			MSX1
			CARNS1
			TMEM99
			GRK4
			NOP14
			DNAH7
			MARCH6
			DISP2
			BTBD2
			UBE2FP3
			BSDC1
			RPL23AP52
			OLFM2
			U91319.1
			KCTD14
			TEAD1
			NRIP3
			CEP76
			PSMG2
			HNRNPLL
			MAPK6
			PCAT1
			ARPP21
			C11orf65
			CYTH1
			DOCK7
			ULK3
			EDC4
			C1orf167
			ASCC3
			RPL9P33
			MTCO3P23
			MTND3P12
			SLC16A8
			BTBD10P2
			CDK8
			EPHB4
			ANKIB1
			KRIT1
			TMCC2
			SLC13A4
			DVL2
			AKAP3
			NDUFA9
			GBA2
			RGP1
			AMDHD1
			RUNX1
			AQP5
			ALOX12B
			PTPRD-AS1
			AGPAT3
			RERG-IT1
			MAPK12
			RAB3IP
			COMMD7
			FO393400.1
			SLC25A24P2
			ATMIN
			WIF1
			SCN7A
			PANO1
			SLC25A22
			EXOSC7
			NCK2
			SMAD6
			SLC43A2
			GLB1
			TMPPE
			DIS3L2
			BTN3A2
			APLF
			CEP104
			PFKL
			DUSP5P1
			CAMKK2
			FBRS
			NR2E1
			SCAMP5
			DMTN
			TUBB4BP3
			SLC37A1
			UCK2
			DNAH2
			PCDHGA8
			TMEM260
			UBAP2
			FLT3LG
			TM7SF3
			ARPC3
			C4BPB
			RICTOR
			LINC02084
